customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_internet,has_phone,has_phone_and_internet,partner_dependents,monthly_average,validate,phone_details,rounded_tenure,type_of_service
0002-ORFBO,Female,0,Yes,Yes,1,1,1,Mailed check,65.6,593.3,No,9.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,65.92,FALSE,One Line,9.0,internet+phone
0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,59.9,542.4,No,9.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,9.06,FALSE,Two or More Lines,9.0,internet+phone
0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,73.9,280.85,Yes,4.0,FALSE,TRUE,TRUE,TRUE,TRUE,0,3.8,FALSE,One Line,4.0,internet+phone
0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,98,1237.85,Yes,13.0,FALSE,TRUE,TRUE,TRUE,TRUE,1,12.63,FALSE,One Line,13.0,internet+phone
0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,83.9,267.4,Yes,3.0,TRUE,TRUE,TRUE,TRUE,TRUE,1,3.19,FALSE,One Line,3.0,internet+phone
0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),69.4,571.45,No,8.0,TRUE,FALSE,TRUE,TRUE,TRUE,2,8.23,FALSE,One Line,8.0,internet+phone
0013-SMEOE,Female,1,Yes,No,1,2,2,Bank transfer (automatic),109.7,7904.25,No,72.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,72.05,FALSE,One Line,72.0,internet+phone
0014-BMAQU,Male,0,Yes,No,2,2,2,Credit card (automatic),84.65,5377.8,No,64.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,63.53,FALSE,Two or More Lines,64.0,internet+phone
0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,48.2,340.35,No,7.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,7.06,FALSE,One Line,7.0,internet+phone
0016-QLJIS,Female,0,Yes,Yes,2,1,2,Mailed check,90.45,5957.9,No,66.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,65.87,FALSE,Two or More Lines,66.0,internet+phone
